,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
similarity,cosine,rbf,cosine,cosine,cosine,rbf,rbf,cosine,rbf,cosine,rbf,rbf,cosine,cosine,cosine,rbf,cosine,rbf,rbf,cosine,rbf,cosine,rbf,cosine,rbf,rbf,rbf,cosine,cosine,rbf,rbf,rbf,cosine,rbf,cosine,cosine,rbf,rbf,rbf,rbf,rbf,cosine,cosine,cosine,rbf,rbf,cosine,rbf,rbf,cosine,cosine,cosine,cosine,rbf,cosine,cosine,cosine,cosine,rbf,cosine,cosine,rbf,cosine,cosine,cosine,rbf,cosine,rbf,cosine,rbf,cosine,rbf,rbf,rbf,cosine,cosine,cosine,rbf,rbf,cosine,rbf,rbf,cosine,cosine,cosine,cosine,rbf,rbf,cosine,cosine,rbf,cosine,cosine,cosine,cosine,rbf,cosine,rbf,cosine,rbf
gamma,,0.5,,,,0.75,0.65,,0.8,,0.4,0.25,,,,0.45,,0.2,0.6,,0.5,,0.8,,0.45,0.4,0.6,,,0.8,0.85,0.7,,0.4,,,0.3,0.75,0.4,0.95,0.8,,,,0.8,0.35,,0.4,0.25,,,,,0.7,,,,,0.4,,,0.15,,,,1.0,,0.7,,0.7,,0.9,0.45,0.5,,,,0.25,0.95,,0.6,0.75,,,,,0.15,0.95,,,0.6,,,,,0.95,,0.9,,0.8
threshold,0.1,0.05,0.2,0.05,0.05,0.15,0.05,0.2,0.1,0.0,0.15,0.05,0.2,0.15,0.15,0.25,0.25,0.2,0.05,0.2,0.1,0.25,0.1,0.2,0.0,0.25,0.05,0.1,0.1,0.1,0.05,0.0,0.15,0.05,0.15,0.0,0.0,0.2,0.25,0.0,0.2,0.25,0.0,0.0,0.25,0.15,0.1,0.0,0.0,0.2,0.0,0.25,0.25,0.0,0.05,0.0,0.2,0.25,0.05,0.0,0.15,0.25,0.1,0.1,0.15,0.1,0.15,0.25,0.1,0.0,0.0,0.2,0.1,0.05,0.1,0.2,0.05,0.05,0.25,0.0,0.25,0.15,0.2,0.2,0.05,0.15,0.15,0.25,0.25,0.1,0.1,0.25,0.05,0.2,0.1,0.1,0.0,0.2,0.1,0.0
scale,softmax,linear,softmax,softmax,softmax,linear,softmax,linear,linear,linear,linear,linear,linear,linear,softmax,softmax,softmax,softmax,softmax,softmax,linear,linear,softmax,softmax,softmax,softmax,softmax,softmax,linear,softmax,softmax,softmax,linear,softmax,linear,linear,linear,softmax,softmax,linear,linear,linear,linear,linear,softmax,softmax,linear,softmax,linear,linear,softmax,softmax,softmax,linear,linear,linear,softmax,linear,softmax,linear,softmax,linear,linear,linear,linear,linear,softmax,linear,softmax,softmax,softmax,linear,softmax,softmax,softmax,softmax,linear,softmax,softmax,softmax,linear,linear,softmax,linear,softmax,linear,linear,linear,softmax,softmax,softmax,linear,softmax,linear,linear,linear,linear,softmax,softmax,softmax
tau,0.15,,0.65,0.25,0.2,,0.6,,,,,,,,0.7,0.3,0.25,0.85,0.4,0.2,,,0.3,0.9,0.4,0.9,0.75,0.25,,0.3,0.95,0.2,,0.65,,,,0.75,0.75,,,,,,0.2,0.55,,0.45,,,0.65,0.55,0.6,,,,0.15,,0.1,,0.55,,,,,,0.45,,0.95,0.25,0.25,,0.8,0.6,0.9,0.5,,0.85,0.5,0.7,,,0.65,,0.4,,,,0.95,1.0,0.25,,0.45,,,,,1.0,0.6,0.1
alpha,0.8,0.95,0.9,0.8,1.0,0.85,1.0,0.85,0.85,0.9,0.8,0.85,0.95,0.85,0.85,0.95,0.8,0.85,1.0,0.8,0.75,1.0,0.75,0.9,0.75,1.0,0.85,0.95,0.85,0.75,1.0,0.95,0.9,0.95,1.0,1.0,0.95,0.95,0.85,0.85,0.95,1.0,0.9,0.8,0.9,0.8,0.9,0.95,0.95,0.9,0.95,1.0,0.85,0.9,0.95,0.95,0.8,0.85,1.0,1.0,0.9,0.9,0.8,0.75,1.0,0.75,0.9,0.9,0.8,0.95,0.95,0.9,0.8,0.95,0.8,0.85,0.95,0.95,0.8,0.95,0.8,0.9,0.95,0.8,0.75,1.0,0.75,0.85,0.9,0.95,0.85,0.9,1.0,0.85,0.9,1.0,0.75,0.85,0.9,1.0
0,mod,triumphant,moronic,html,mod,triumphant,triumphant,moronic,triumphant,html,triumphant,triumphant,moronic,www,cl,triumphant,moronic,triumphant,triumphant,moronic,triumphant,moronic,triumphant,er,triumphant,triumphant,triumphant,html,html,triumphant,triumphant,triumphant,www,triumphant,cl,html,triumphant,triumphant,triumphant,triumphant,triumphant,moronic,html,html,triumphant,triumphant,html,triumphant,triumphant,moronic,html,moronic,moronic,triumphant,html,html,moronic,moronic,triumphant,html,cl,triumphant,html,html,cl,triumphant,cl,triumphant,html,triumphant,html,triumphant,triumphant,triumphant,html,moronic,html,triumphant,triumphant,html,triumphant,triumphant,er,moronic,html,cl,triumphant,triumphant,moronic,html,triumphant,moronic,html,moronic,html,triumphant,html,triumphant,html,triumphant
1,in,moronic,er,aspx,acorn,moronic,moronic,pfers,moronic,aspx,moronic,moronic,pfers,cl,www,moronic,pfers,moronic,moronic,pfers,moronic,pfers,moronic,cl,moronic,moronic,moronic,aspx,cl,moronic,moronic,moronic,cl,moronic,www,aspx,moronic,moronic,moronic,moronic,moronic,pfers,aspx,aspx,moronic,moronic,cl,moronic,moronic,pfers,aspx,pfers,pfers,moronic,aspx,aspx,pfers,pfers,moronic,aspx,www,moronic,cl,cl,www,moronic,www,moronic,aspx,moronic,aspx,moronic,moronic,moronic,aspx,pfers,aspx,moronic,moronic,inc,moronic,moronic,moronic,pfers,aspx,www,moronic,moronic,pfers,aspx,moronic,pfers,aspx,pfers,cl,moronic,aspx,moronic,aspx,moronic
2,pfers,restrict_sr,cl,mod,aspx,restrict_sr,restrict_sr,lord,restrict_sr,cl,restrict_sr,restrict_sr,lord,html,html,restrict_sr,series,restrict_sr,restrict_sr,in,restrict_sr,lord,restrict_sr,moronic,restrict_sr,restrict_sr,restrict_sr,mod,aspx,restrict_sr,restrict_sr,restrict_sr,html,restrict_sr,html,cl,restrict_sr,restrict_sr,restrict_sr,restrict_sr,restrict_sr,lord,cl,cl,restrict_sr,restrict_sr,aspx,restrict_sr,restrict_sr,lord,inc,lord,lord,restrict_sr,cl,cl,in,lord,restrict_sr,cl,html,restrict_sr,aspx,aspx,html,restrict_sr,html,restrict_sr,inc,restrict_sr,mod,restrict_sr,restrict_sr,restrict_sr,inc,er,cl,restrict_sr,restrict_sr,aspx,restrict_sr,restrict_sr,cl,lord,inc,html,restrict_sr,restrict_sr,lord,inc,restrict_sr,lord,inc,lord,aspx,restrict_sr,cl,restrict_sr,cl,restrict_sr
3,ee,newuser,www,acorn,html,newuser,newuser,in,newuser,www,newuser,newuser,in,mod,eq,newuser,ee,newuser,newuser,lord,newuser,series,newuser,eq,newuser,newuser,newuser,acorn,www,newuser,newuser,newuser,mod,newuser,mod,www,newuser,newuser,newuser,newuser,newuser,series,www,www,newuser,newuser,www,newuser,newuser,in,edu,series,in,newuser,www,www,series,series,newuser,www,eq,newuser,www,www,mod,newuser,mod,newuser,cl,newuser,acorn,newuser,newuser,newuser,cl,cl,www,newuser,newuser,edu,newuser,newuser,www,in,acorn,mod,newuser,newuser,in,cl,newuser,series,acorn,in,www,newuser,mod,newuser,inc,newuser
